GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002444	myeloid leukocyte mediated immunity	0.0014383432771700529	0.0014383432771700529	+1	ENSG00000171608,ENSG00000118520,ENSG00000103496,ENSG00000133246,ENSG00000197561,ENSG00000035720,ENSG00000119508,ENSG00000182511,ENSG00000163687,ENSG00000127507,ENSG00000100292
GO:0050832	defense response to fungus	0.0014997462751008218	0.0014997462751008218	+1	ENSG00000118520,ENSG00000143546,ENSG00000012223,ENSG00000197561,ENSG00000163221,ENSG00000163220,ENSG00000005381,ENSG00000164821
GO:0002832	negative regulation of response to biotic stimulus	0.001617588465094556	0.001617588465094556	+1	ENSG00000118520,ENSG00000167815,ENSG00000133710,ENSG00000012223,ENSG00000103423,ENSG00000145220,ENSG00000182446,ENSG00000049768,ENSG00000101695,ENSG00000100304,ENSG00000187608
GO:0002274	myeloid leukocyte activation	0.0022654553882285157	0.0022654553882285157	+1	ENSG00000171608,ENSG00000101425,ENSG00000118113,ENSG00000103496,ENSG00000168421,ENSG00000133246,ENSG00000125810,ENSG00000163221,ENSG00000035720,ENSG00000119508,ENSG00000182511,ENSG00000174130,ENSG00000163687,ENSG00000127507,ENSG00000137265,ENSG00000100292
GO:0002886	regulation of myeloid leukocyte mediated immunity	0.0031231423141935863	0.0031231423141935863	+1	ENSG00000118520,ENSG00000103496,ENSG00000133246,ENSG00000035720,ENSG00000182511,ENSG00000163687,ENSG00000127507,ENSG00000100292
GO:0062197	cellular response to chemical stress	0.003739362177607597	0.003739362177607597	+1	ENSG00000103056,ENSG00000118520,ENSG00000204389,ENSG00000167815,ENSG00000103496,ENSG00000100300,ENSG00000132646,ENSG00000178209,ENSG00000101544,ENSG00000134001,ENSG00000119508,ENSG00000174130,ENSG00000085662,ENSG00000163516,ENSG00000166888,ENSG00000005381,ENSG00000101460,ENSG00000158828,ENSG00000100292
GO:0009620	response to fungus	0.00405878175488257	0.00405878175488257	+1	ENSG00000118520,ENSG00000143546,ENSG00000012223,ENSG00000197561,ENSG00000163221,ENSG00000163220,ENSG00000005381,ENSG00000164821
GO:0031581	hemidesmosome assembly	0.006737176239261378	0.006737176239261378	+1	ENSG00000178209,ENSG00000132470,ENSG00000065618
GO:0072656	maintenance of protein location in mitochondrion	0.006737176239261378	0.006737176239261378	+1	ENSG00000100300,ENSG00000159399,ENSG00000158828
GO:0045637	regulation of myeloid cell differentiation	0.006737176239261378	0.006737176239261378	+1	ENSG00000204389,ENSG00000172216,ENSG00000198728,ENSG00000135776,ENSG00000012223,ENSG00000159189,ENSG00000197238,ENSG00000126457,ENSG00000182511,ENSG00000119535,ENSG00000183864,ENSG00000197837,ENSG00000178467,ENSG00000187608
