GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015671	oxygen transport	0.0031120365993268784	0.0031120365993268784	+1	ENSG00000196565,ENSG00000213934,ENSG00000223609
GO:0015669	gas transport	0.004882965905945764	0.004882965905945764	+1	ENSG00000196565,ENSG00000213934,ENSG00000223609
GO:0042744	hydrogen peroxide catabolic process	0.005962611022130355	0.005962611022130355	+1	ENSG00000196565,ENSG00000213934,ENSG00000223609
GO:0098869	cellular oxidant detoxification	0.005962611022130355	0.005962611022130355	+1	ENSG00000196565,ENSG00000163586,ENSG00000213934,ENSG00000223609
GO:0009636	response to toxic substance	0.008000214001614304	0.008000214001614304	+1	ENSG00000196565,ENSG00000039068,ENSG00000163586,ENSG00000213934,ENSG00000223609
GO:1990748	cellular detoxification	0.008000214001614304	0.008000214001614304	+1	ENSG00000196565,ENSG00000163586,ENSG00000213934,ENSG00000223609
GO:0097237	cellular response to toxic substance	0.008000214001614304	0.008000214001614304	+1	ENSG00000196565,ENSG00000163586,ENSG00000213934,ENSG00000223609
GO:0098754	detoxification	0.011839325776393564	0.011839325776393564	+1	ENSG00000196565,ENSG00000163586,ENSG00000213934,ENSG00000223609
GO:0042743	hydrogen peroxide metabolic process	0.01388525616781415	0.01388525616781415	+1	ENSG00000196565,ENSG00000213934,ENSG00000223609
GO:0033013	tetrapyrrole metabolic process	0.019030213202755015	0.019030213202755015	+1	ENSG00000076351,ENSG00000125246,ENSG00000158578
GO:0006879	cellular iron ion homeostasis	0.020904219332225627	0.020904219332225627	+1	ENSG00000076351,ENSG00000104635,ENSG00000158578
GO:0055072	iron ion homeostasis	0.042384120638967716	0.042384120638967716	+1	ENSG00000076351,ENSG00000104635,ENSG00000158578
GO:0015693	magnesium ion transport	0.04289715814006308	0.04289715814006308	+1	ENSG00000136052,ENSG00000123700
REAC:R-HSA-5083632	Defective C1GALT1C1 causes TNPS	0.0440587493079571	0.0440587493079571	+1	ENSG00000169894,ENSG00000205277
REAC:R-HSA-5083636	Defective GALNT12 causes CRCS1	0.0440587493079571	0.0440587493079571	+1	ENSG00000169894,ENSG00000205277
REAC:R-HSA-5083625	Defective GALNT3 causes HFTC	0.0440587493079571	0.0440587493079571	+1	ENSG00000169894,ENSG00000205277
REAC:R-HSA-983231	Factors involved in megakaryocyte development and platelet production	0.0440587493079571	0.0440587493079571	+1	ENSG00000142945,ENSG00000196565,ENSG00000213934,ENSG00000223609
