GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006641	triglyceride metabolic process	0.001402786575349718	0.001402786575349718	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000091583,ENSG00000101670,ENSG00000125730
GO:0006638	neutral lipid metabolic process	0.002564008455157029	0.002564008455157029	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000091583,ENSG00000101670,ENSG00000125730
GO:0006639	acylglycerol metabolic process	0.002564008455157029	0.002564008455157029	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000091583,ENSG00000101670,ENSG00000125730
GO:0042730	fibrinolysis	0.0030546160976273563	0.0030546160976273563	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0034369	plasma lipoprotein particle remodeling	0.004443277385976345	0.004443277385976345	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0034368	protein-lipid complex remodeling	0.004443277385976345	0.004443277385976345	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0072378	blood coagulation, fibrin clot formation	0.004443277385976345	0.004443277385976345	+1	ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0034367	protein-containing complex remodeling	0.005018393502277564	0.005018393502277564	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0072376	protein activation cascade	0.0062916312751656305	0.0062916312751656305	+1	ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0034381	plasma lipoprotein particle clearance	0.009906816806178947	0.009906816806178947	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0071827	plasma lipoprotein particle organization	0.010357508660005874	0.010357508660005874	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0034375	high-density lipoprotein particle remodeling	0.010357508660005874	0.010357508660005874	+1	ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0035269	protein O-linked mannosylation	0.011426062497401114	0.011426062497401114	+1	ENSG00000106692,ENSG00000179104,ENSG00000181027
GO:0030195	negative regulation of blood coagulation	0.011426062497401114	0.011426062497401114	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0071825	protein-lipid complex subunit organization	0.011426062497401114	0.011426062497401114	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0051004	regulation of lipoprotein lipase activity	0.011426062497401114	0.011426062497401114	+1	ENSG00000025434,ENSG00000130208,ENSG00000091583
GO:1900047	negative regulation of hemostasis	0.011694425715221588	0.011694425715221588	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0050819	negative regulation of coagulation	0.013085458400973703	0.013085458400973703	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0030301	cholesterol transport	0.013949171977047132	0.013949171977047132	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:1905952	regulation of lipid localization	0.013949171977047132	0.013949171977047132	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000101670,ENSG00000125730
GO:0033344	cholesterol efflux	0.013949171977047132	0.013949171977047132	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874
GO:0006826	iron ion transport	0.014621697349984116	0.014621697349984116	+1	ENSG00000113905,ENSG00000091513,ENSG00000047457,ENSG00000110400
GO:0035268	protein mannosylation	0.014621697349984116	0.014621697349984116	+1	ENSG00000106692,ENSG00000179104,ENSG00000181027
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.014621697349984116	0.014621697349984116	+1	ENSG00000169855,ENSG00000140937,ENSG00000163395,ENSG00000124006,ENSG00000113555,ENSG00000110400
GO:0031639	plasminogen activation	0.014621697349984116	0.014621697349984116	+1	ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0034377	plasma lipoprotein particle assembly	0.016579063126294754	0.016579063126294754	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874
GO:0015918	sterol transport	0.016579063126294754	0.016579063126294754	+1	ENSG00000084674,ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0032374	regulation of cholesterol transport	0.016579063126294754	0.016579063126294754	+1	ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0007416	synapse assembly	0.016579063126294754	0.016579063126294754	+1	ENSG00000021645,ENSG00000152767,ENSG00000185070,ENSG00000163395,ENSG00000124006,ENSG00000110400
GO:0032371	regulation of sterol transport	0.016579063126294754	0.016579063126294754	+1	ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0035385	Roundabout signaling pathway	0.016579063126294754	0.016579063126294754	+1	ENSG00000169855,ENSG00000184347
GO:0030193	regulation of blood coagulation	0.01868555134119594	0.01868555134119594	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0032369	negative regulation of lipid transport	0.01881754174602543	0.01881754174602543	+1	ENSG00000025434,ENSG00000130208,ENSG00000158874
GO:0046503	glycerolipid catabolic process	0.01881754174602543	0.01881754174602543	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:1900046	regulation of hemostasis	0.01881754174602543	0.01881754174602543	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0065005	protein-lipid complex assembly	0.01881754174602543	0.01881754174602543	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874
GO:0006572	tyrosine catabolic process	0.01899249374932393	0.01899249374932393	+1	ENSG00000158104,ENSG00000100577
GO:0097006	regulation of plasma lipoprotein particle levels	0.019351295454987892	0.019351295454987892	+1	ENSG00000084674,ENSG00000130208,ENSG00000158874,ENSG00000101670
GO:0061045	negative regulation of wound healing	0.019351295454987892	0.019351295454987892	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0050818	regulation of coagulation	0.01999679514799538	0.01999679514799538	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0070100	negative regulation of chemokine-mediated signaling pathway	0.02332541309421695	0.02332541309421695	+1	ENSG00000169855,ENSG00000184347
GO:0030100	regulation of endocytosis	0.02332541309421695	0.02332541309421695	+1	ENSG00000025434,ENSG00000091513,ENSG00000130208,ENSG00000188603,ENSG00000162139,ENSG00000125730
GO:0097502	mannosylation	0.02680556841055603	0.02680556841055603	+1	ENSG00000106692,ENSG00000179104,ENSG00000181027
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	0.02680556841055603	0.02680556841055603	+1	ENSG00000158104,ENSG00000100577
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	0.02680556841055603	0.02680556841055603	+1	ENSG00000158104,ENSG00000100577
GO:0006559	L-phenylalanine catabolic process	0.02680556841055603	0.02680556841055603	+1	ENSG00000158104,ENSG00000100577
GO:0006558	L-phenylalanine metabolic process	0.02680556841055603	0.02680556841055603	+1	ENSG00000158104,ENSG00000100577
GO:0051604	protein maturation	0.02788237703484509	0.02788237703484509	+1	ENSG00000171557,ENSG00000184903,ENSG00000171564,ENSG00000048140,ENSG00000188603,ENSG00000181027,ENSG00000091583
GO:0051918	negative regulation of fibrinolysis	0.02904556127725242	0.02904556127725242	+1	ENSG00000113905,ENSG00000091583
GO:0055088	lipid homeostasis	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000025434,ENSG00000158874,ENSG00000183747,ENSG00000101670
GO:0055092	sterol homeostasis	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000025434,ENSG00000158874,ENSG00000101670
GO:0060191	regulation of lipase activity	0.02904556127725242	0.02904556127725242	+1	ENSG00000025434,ENSG00000130208,ENSG00000158874,ENSG00000091583
GO:0070099	regulation of chemokine-mediated signaling pathway	0.02904556127725242	0.02904556127725242	+1	ENSG00000169855,ENSG00000184347
GO:0007411	axon guidance	0.02904556127725242	0.02904556127725242	+1	ENSG00000021645,ENSG00000185070,ENSG00000141622,ENSG00000169855,ENSG00000184347,ENSG00000110400
GO:0097485	neuron projection guidance	0.02904556127725242	0.02904556127725242	+1	ENSG00000021645,ENSG00000185070,ENSG00000141622,ENSG00000169855,ENSG00000184347,ENSG00000110400
GO:0006486	protein glycosylation	0.02904556127725242	0.02904556127725242	+1	ENSG00000106692,ENSG00000179104,ENSG00000120697,ENSG00000181027,ENSG00000172339,ENSG00000178234
GO:0006493	protein O-linked glycosylation	0.02904556127725242	0.02904556127725242	+1	ENSG00000106692,ENSG00000179104,ENSG00000181027,ENSG00000178234
GO:0061365	positive regulation of triglyceride lipase activity	0.02904556127725242	0.02904556127725242	+1	ENSG00000025434,ENSG00000091583
GO:0034379	very-low-density lipoprotein particle assembly	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000130208
GO:1903035	negative regulation of response to wounding	0.02904556127725242	0.02904556127725242	+1	ENSG00000113905,ENSG00000171557,ENSG00000171564,ENSG00000091583
GO:0046464	acylglycerol catabolic process	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000158874,ENSG00000101670
GO:0046461	neutral lipid catabolic process	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000158874,ENSG00000101670
GO:0016485	protein processing	0.02904556127725242	0.02904556127725242	+1	ENSG00000171557,ENSG00000184903,ENSG00000171564,ENSG00000188603,ENSG00000181027,ENSG00000091583
GO:0043413	macromolecule glycosylation	0.02904556127725242	0.02904556127725242	+1	ENSG00000106692,ENSG00000179104,ENSG00000120697,ENSG00000181027,ENSG00000172339,ENSG00000178234
GO:0051006	positive regulation of lipoprotein lipase activity	0.02904556127725242	0.02904556127725242	+1	ENSG00000025434,ENSG00000091583
GO:0042632	cholesterol homeostasis	0.02904556127725242	0.02904556127725242	+1	ENSG00000084674,ENSG00000025434,ENSG00000158874,ENSG00000101670
GO:0010873	positive regulation of cholesterol esterification	0.02904556127725242	0.02904556127725242	+1	ENSG00000130208,ENSG00000158874
GO:0019216	regulation of lipid metabolic process	0.02957940809814137	0.02957940809814137	+1	ENSG00000084674,ENSG00000025434,ENSG00000171049,ENSG00000130208,ENSG00000187815,ENSG00000158874,ENSG00000125730
GO:0006898	receptor-mediated endocytosis	0.03085118310822588	0.03085118310822588	+1	ENSG00000091513,ENSG00000171049,ENSG00000130208,ENSG00000188603,ENSG00000162139,ENSG00000125730
GO:0070085	glycosylation	0.03085118310822588	0.03085118310822588	+1	ENSG00000106692,ENSG00000179104,ENSG00000120697,ENSG00000181027,ENSG00000172339,ENSG00000178234
GO:0043589	skin morphogenesis	0.03175196664274802	0.03175196664274802	+1	ENSG00000116285,ENSG00000108821
GO:0034384	high-density lipoprotein particle clearance	0.03175196664274802	0.03175196664274802	+1	ENSG00000158874,ENSG00000101670
GO:1905953	negative regulation of lipid localization	0.033880534171782786	0.033880534171782786	+1	ENSG00000025434,ENSG00000130208,ENSG00000158874
GO:0015914	phospholipid transport	0.033880534171782786	0.033880534171782786	+1	ENSG00000130208,ENSG00000158874,ENSG00000085563,ENSG00000104783
GO:0050919	negative chemotaxis	0.035414743814057736	0.035414743814057736	+1	ENSG00000185070,ENSG00000169855,ENSG00000184347
GO:0048548	regulation of pinocytosis	0.036083992609779736	0.036083992609779736	+1	ENSG00000025434,ENSG00000188603
GO:0010872	regulation of cholesterol esterification	0.036083992609779736	0.036083992609779736	+1	ENSG00000130208,ENSG00000158874
GO:0045806	negative regulation of endocytosis	0.038126929415713606	0.038126929415713606	+1	ENSG00000025434,ENSG00000130208,ENSG00000162139
GO:0000041	transition metal ion transport	0.03831159761621389	0.03831159761621389	+1	ENSG00000113905,ENSG00000091513,ENSG00000047457,ENSG00000110400
GO:0033700	phospholipid efflux	0.03831159761621389	0.03831159761621389	+1	ENSG00000130208,ENSG00000158874
GO:0048259	regulation of receptor-mediated endocytosis	0.03831159761621389	0.03831159761621389	+1	ENSG00000091513,ENSG00000130208,ENSG00000162139,ENSG00000125730
GO:0032372	negative regulation of sterol transport	0.03831159761621389	0.03831159761621389	+1	ENSG00000130208,ENSG00000158874
GO:0032375	negative regulation of cholesterol transport	0.03831159761621389	0.03831159761621389	+1	ENSG00000130208,ENSG00000158874
GO:1905954	positive regulation of lipid localization	0.039067892315068894	0.039067892315068894	+1	ENSG00000084674,ENSG00000025434,ENSG00000101670,ENSG00000125730
GO:0010883	regulation of lipid storage	0.040690249687811486	0.040690249687811486	+1	ENSG00000084674,ENSG00000025434,ENSG00000125730
GO:0051917	regulation of fibrinolysis	0.04189958520060239	0.04189958520060239	+1	ENSG00000113905,ENSG00000091583
GO:0047484	regulation of response to osmotic stress	0.04189958520060239	0.04189958520060239	+1	ENSG00000085563,ENSG00000188603
